,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
2117,data/cut/R000183BD_C00034AD9_17.png,459.5,309,,,,,R000183BD,C00034AD9,甲詹姆仕芝士排骨,,204.5,54,R000183BD,C00034AD9,C00034AD9_204.5,R000183BD_54,,,,,,
2118,data/cut/R000183BD_C00034AD9_19.png,507.5,282.5,,,,,R000183BD,C00034AD9,中关村广场步行街,,252.5,27.5,R000183BD,C00034AD9,C00034AD9_252.5,R000183BD_27.5,,,,,,
2119,data/cut/R000183BD_C00034AD9_20.png,381.5,482,,,,,R000183BD,C00034AD9,欧美汇购物中心,,126.5,227,R000183BD,C00034AD9,C00034AD9_126.5,R000183BD_227,,,,,,
2120,data/cut/R000183BD_C00034AD9_22.png,259,440.5,262,432,影剧院,80600,R000183BD,C00034AD9,e艾米白盒子,,4,185.5,R000183BD,C00034AD9,C00034AD9_4,R000183BD_185.5,7,177,R000183BD,C00034AD9,C00034AD9_7,R000183BD_177
2121,data/cut/R000183BD_C00034AD9_23.png,301.5,354,,,,,R000183BD,C00034AD9,B3停车场出口,,46.5,99,R000183BD,C00034AD9,C00034AD9_46.5,R000183BD_99,,,,,,
2122,data/cut/R000183BD_C00034AD9_30.png,331,317.5,,,,,R000183BD,C00034AD9,平南京大牌档,,76,62.5,R000183BD,C00034AD9,C00034AD9_76,R000183BD_62.5,,,,,,
2123,data/cut/R000183BD_C00034AD9_59.png,478.5,464,479,457,通行设施,990000,R000183BD,C00034AD9,北四门,,223.5,209,R000183BD,C00034AD9,C00034AD9_223.5,R000183BD_209,224,202,R000183BD,C00034AD9,C00034AD9_224,R000183BD_202
2124,data/cut/R000183BD_C00034AD9_62.png,432.5,367,433,360,通行设施,990000,R000183BD,C00034AD9,南2门,,177.5,112,R000183BD,C00034AD9,C00034AD9_177.5,R000183BD_112,178,105,R000183BD,C00034AD9,C00034AD9_178,R000183BD_105
2125,,,,436,456,餐饮服务,50000,R000183BD,C00034AD9,,,,,,,,,181,201,R000183BD,C00034AD9,C00034AD9_181,R000183BD_201
2126,,,,297,319,餐饮服务,50000,R000183BD,C00034AD9,,,,,,,,,42,64,R000183BD,C00034AD9,C00034AD9_42,R000183BD_64
2127,,,,412,310,餐饮服务,50000,R000183BD,C00034AD9,,,,,,,,,157,55,R000183BD,C00034AD9,C00034AD9_157,R000183BD_55
2128,,,,336,271,餐饮服务,50000,R000183BD,C00034AD9,,,,,,,,,81,16,R000183BD,C00034AD9,C00034AD9_81,R000183BD_16
2129,,,,310,510,通行设施,990000,R000183BD,C00034AD9,,,,,,,,,55,255,R000183BD,C00034AD9,C00034AD9_55,R000183BD_255
2130,,,,261,356,通行设施,990000,R000183BD,C00034AD9,,,,,,,,,6,101,R000183BD,C00034AD9,C00034AD9_6,R000183BD_101
2131,,,,332,425,便民商店,60200,R000183BD,C00034AD9,,,,,,,,,77,170,R000183BD,C00034AD9,C00034AD9_77,R000183BD_170
2132,data/cut/R000183BF_C00034AD2_18.png,265.5,355,,,,,R000183BF,C00034AD2,北京市八,,10.5,100,R000183BF,C00034AD2,C00034AD2_10.5,R000183BF_100,,,,,,
2133,data/cut/R000183BF_C00034AD2_24.png,323.5,356,,,,,R000183BF,C00034AD2,学校,"[('C00034AD2_18', 'R000183BF_85'), ('C00034AD2_145', 'R000183BF_85'), ('C00034AD2_145', 'R000183BF_156'), ('C00034AD2_18', 'R000183BF_156')]",68.5,101,R000183BF,C00034AD2,C00034AD2_68.5,R000183BF_101,,,,,,
2134,data/cut/R000183BF_C00034AD2_37.png,345.5,493,346,494,停车场,150900,R000183BF,C00034AD2,P,"[('C00034AD2_69', 'R000183BF_171'), ('C00034AD3_18', 'R000183BF_171'), ('C00034AD3_18', 'R000183C0_104'), ('C00034AD2_69', 'R000183C0_104')]",90.5,238,R000183BF,C00034AD2,C00034AD2_90.5,R000183BF_238,91,239,R000183BF,C00034AD2,C00034AD2_91,R000183BF_239
2135,data/cut/R000183BF_C00034AE6_5.png,348.5,502.5,349,493,楼宇,120200,R000183BF,C00034AE6,卫星大厦,"[('C00034AE6_46', 'R000183BF_217'), ('C00034AE6_134', 'R000183BF_217'), ('C00034AE6_134', 'R000183C0_42'), ('C00034AE6_46', 'R000183C0_42')]",93.5,247.5,R000183BF,C00034AE6,C00034AE6_93.5,R000183BF_247.5,94,238,R000183BF,C00034AE6,C00034AE6_94,R000183BF_238
2136,data/cut/R000183BF_C00034AE6_9.png,286.5,453.5,287,454,停车场,150900,R000183BF,C00034AE6,P,,31.5,198.5,R000183BF,C00034AE6,C00034AE6_31.5,R000183BF_198.5,32,199,R000183BF,C00034AE6,C00034AE6_32,R000183BF_199
